"","Country","Region","Year","Happiness.Rank","Happiness.Score","Standard.Error","Economy..GDP.per.Capita.","Family","Health..Life.Expectancy.","Freedom","Trust..Government.Corruption.","Generosity","Dystopia.Residual"
"1","Switzerland","Western Europe","2015",1,7.587,0.03411,1.39651,1.34951,0.94143,0.66557,0.41978,0.29678,2.51738
"2","Iceland","Western Europe","2015",2,7.561,0.04884,1.30232,1.40223,0.94784,0.62877,0.14145,0.4363,2.70201
"3","Denmark","Western Europe","2015",3,7.527,0.03328,1.32548,1.36058,0.87464,0.64938,0.48357,0.34139,2.49204
"4","Norway","Western Europe","2015",4,7.522,0.0388,1.459,1.33095,0.88521,0.66973,0.36503,0.34699,2.46531
"5","Canada","North America","2015",5,7.427,0.03553,1.32629,1.32261,0.90563,0.63297,0.32957,0.45811,2.45176
"6","Finland","Western Europe","2015",6,7.406,0.0314,1.29025,1.31826,0.88911,0.64169,0.41372,0.23351,2.61955
"7","Netherlands","Western Europe","2015",7,7.378,0.02799,1.32944,1.28017,0.89284,0.61576,0.31814,0.4761,2.4657
"8","Sweden","Western Europe","2015",8,7.364,0.03157,1.33171,1.28907,0.91087,0.6598,0.43844,0.36262,2.37119
"9","New Zealand","Australia and New Zealand","2015",9,7.286,0.03371,1.25018,1.31967,0.90837,0.63938,0.42922,0.47501,2.26425
"10","Australia","Australia and New Zealand","2015",10,7.284,0.04083,1.33358,1.30923,0.93156,0.65124,0.35637,0.43562,2.26646
"11","Israel","Middle East and Northern Africa","2015",11,7.278,0.0347,1.22857,1.22393,0.91387,0.41319,0.07785,0.33172,3.08854
"12","Costa Rica","Latin America and Caribbean","2015",12,7.226,0.04454,0.95578,1.23788,0.86027,0.63376,0.10583,0.25497,3.17728
"13","Austria","Western Europe","2015",13,7.2,0.03751,1.33723,1.29704,0.89042,0.62433,0.18676,0.33088,2.5332
"14","Mexico","Latin America and Caribbean","2015",14,7.187,0.04176,1.02054,0.91451,0.81444,0.48181,0.21312,0.14074,3.60214
"15","United States","North America","2015",15,7.119,0.03839,1.39451,1.24711,0.86179,0.54604,0.1589,0.40105,2.51011
"16","Brazil","Latin America and Caribbean","2015",16,6.983,0.04076,0.98124,1.23287,0.69702,0.49049,0.17521,0.14574,3.26001
"17","Luxembourg","Western Europe","2015",17,6.946,0.03499,1.56391,1.21963,0.91894,0.61583,0.37798,0.28034,1.96961
"18","Ireland","Western Europe","2015",18,6.94,0.03676,1.33596,1.36948,0.89533,0.61777,0.28703,0.45901,1.9757
"19","Belgium","Western Europe","2015",19,6.937,0.03595,1.30782,1.28566,0.89667,0.5845,0.2254,0.2225,2.41484
"20","United Arab Emirates","Middle East and Northern Africa","2015",20,6.901,0.03729,1.42727,1.12575,0.80925,0.64157,0.38583,0.26428,2.24743
"21","United Kingdom","Western Europe","2015",21,6.867,0.01866,1.26637,1.28548,0.90943,0.59625,0.32067,0.51912,1.96994
"22","Oman","Middle East and Northern Africa","2015",22,6.853,0.05335,1.36011,1.08182,0.76276,0.63274,0.32524,0.21542,2.47489
"23","Venezuela","Latin America and Caribbean","2015",23,6.81,0.06476,1.04424,1.25596,0.72052,0.42908,0.11069,0.05841,3.19131
"24","Singapore","Southeastern Asia","2015",24,6.798,0.0378,1.52186,1.02,1.02525,0.54252,0.4921,0.31105,1.88501
"25","Panama","Latin America and Caribbean","2015",25,6.786,0.0491,1.06353,1.1985,0.79661,0.5421,0.0927,0.24434,2.84848
"26","Germany","Western Europe","2015",26,6.75,0.01848,1.32792,1.29937,0.89186,0.61477,0.21843,0.28214,2.11569
"27","Chile","Latin America and Caribbean","2015",27,6.67,0.058,1.10715,1.12447,0.85857,0.44132,0.12869,0.33363,2.67585
"28","Qatar","Middle East and Northern Africa","2015",28,6.611,0.06257,1.69042,1.0786,0.79733,0.6404,0.52208,0.32573,1.55674
"29","France","Western Europe","2015",29,6.575,0.03512,1.27778,1.26038,0.94579,0.55011,0.20646,0.12332,2.21126
"30","Argentina","Latin America and Caribbean","2015",30,6.574,0.04612,1.05351,1.24823,0.78723,0.44974,0.08484,0.11451,2.836
"31","Czech Republic","Central and Eastern Europe","2015",31,6.505,0.04168,1.17898,1.20643,0.84483,0.46364,0.02652,0.10686,2.67782
"32","Uruguay","Latin America and Caribbean","2015",32,6.485,0.04539,1.06166,1.2089,0.8116,0.60362,0.24558,0.2324,2.32142
"33","Colombia","Latin America and Caribbean","2015",33,6.477,0.05051,0.91861,1.24018,0.69077,0.53466,0.0512,0.18401,2.85737
"34","Thailand","Southeastern Asia","2015",34,6.455,0.03557,0.9669,1.26504,0.7385,0.55664,0.03187,0.5763,2.31945
"35","Saudi Arabia","Middle East and Northern Africa","2015",35,6.411,0.04633,1.39541,1.08393,0.72025,0.31048,0.32524,0.13706,2.43872
"36","Spain","Western Europe","2015",36,6.329,0.03468,1.23011,1.31379,0.95562,0.45951,0.06398,0.18227,2.12367
"37","Malta","Western Europe","2015",37,6.302,0.04206,1.2074,1.30203,0.88721,0.60365,0.13586,0.51752,1.6488
"38","Taiwan","Eastern Asia","2015",38,6.298,0.03868,1.29098,1.07617,0.8753,0.3974,0.08129,0.25376,2.32323
"39","Kuwait","Middle East and Northern Africa","2015",39,6.295,0.04456,1.55422,1.16594,0.72492,0.55499,0.25609,0.16228,1.87634
"40","Suriname","Latin America and Caribbean","2015",40,6.269,0.09811,0.99534,0.972,0.6082,0.59657,0.13633,0.16991,2.79094
"41","Trinidad and Tobago","Latin America and Caribbean","2015",41,6.168,0.10895,1.21183,1.18354,0.61483,0.55884,0.0114,0.31844,2.26882
"42","El Salvador","Latin America and Caribbean","2015",42,6.13,0.05618,0.76454,1.02507,0.67737,0.4035,0.11776,0.10692,3.035
"43","Guatemala","Latin America and Caribbean","2015",43,6.123,0.05224,0.74553,1.04356,0.64425,0.57733,0.09472,0.27489,2.74255
"44","Uzbekistan","Central and Eastern Europe","2015",44,6.003,0.04361,0.63244,1.34043,0.59772,0.65821,0.30826,0.22837,2.23741
"45","Slovakia","Central and Eastern Europe","2015",45,5.995,0.04267,1.16891,1.26999,0.78902,0.31751,0.03431,0.16893,2.24639
"46","Japan","Eastern Asia","2015",46,5.987,0.03581,1.27074,1.25712,0.99111,0.49615,0.1806,0.10705,1.68435
"47","South Korea","Eastern Asia","2015",47,5.984,0.04098,1.24461,0.95774,0.96538,0.33208,0.07857,0.18557,2.21978
"48","Ecuador","Latin America and Caribbean","2015",48,5.975,0.04528,0.86402,0.99903,0.79075,0.48574,0.1809,0.11541,2.53942
"49","Bahrain","Middle East and Northern Africa","2015",49,5.96,0.05412,1.32376,1.21624,0.74716,0.45492,0.306,0.17362,1.73797
